use_rep,CNMI,method,seed,sample
SPIN_emb_seed1,0.6488743877731883,SPIN,seed1,3
SPIN_emb_seed1,0.6295869535888903,SPIN,seed1,4
SPIN_emb_seed1,0.6086718648965957,SPIN,seed1,1
SPIN_emb_seed1,0.5726681477003572,SPIN,seed1,5
SPIN_emb_seed1,0.6451922124620911,SPIN,seed1,2
SPIN_emb_seed2,0.5752115558140883,SPIN,seed2,5
SPIN_emb_seed2,0.6346628588422129,SPIN,seed2,2
SPIN_emb_seed2,0.6319860102086476,SPIN,seed2,3
SPIN_emb_seed2,0.6095472387565232,SPIN,seed2,4
SPIN_emb_seed2,0.6307527823578625,SPIN,seed2,1
SPIN_emb_seed3,0.621656349337589,SPIN,seed3,3
SPIN_emb_seed3,0.6145748138156362,SPIN,seed3,2
SPIN_emb_seed3,0.59598359538864,SPIN,seed3,4
SPIN_emb_seed3,0.6163223146212375,SPIN,seed3,5
SPIN_emb_seed3,0.6126706790782916,SPIN,seed3,1
SPIN_emb_seed4,0.6195250942588271,SPIN,seed4,2
SPIN_emb_seed4,0.6149432628201359,SPIN,seed4,4
SPIN_emb_seed4,0.6429745980429525,SPIN,seed4,3
SPIN_emb_seed4,0.5640838067565396,SPIN,seed4,5
SPIN_emb_seed4,0.6345428744258558,SPIN,seed4,1
SPIN_emb_seed5,0.6586896182783726,SPIN,seed5,2
SPIN_emb_seed5,0.6433753610775006,SPIN,seed5,1
SPIN_emb_seed5,0.5765085256443404,SPIN,seed5,5
SPIN_emb_seed5,0.6071564669639334,SPIN,seed5,3
SPIN_emb_seed5,0.5755779622537499,SPIN,seed5,4
