data_num,Embedding,Model,Metric,Cluster Number,Value
0,SPIN_emb_seed1,SPIN,NMI,9,0.6030289345508234
0,SPIN_emb_seed2,SPIN,ARI,5,0.378914378134675
0,SPIN_emb_seed2,SPIN,ARI,6,0.4002076603113606
0,SPIN_emb_seed2,SPIN,ARI,7,0.478305955722947
0,SPIN_emb_seed2,SPIN,ARI,8,0.3999868381202618
0,SPIN_emb_seed2,SPIN,ARI,9,0.49379322747043
0,SPIN_emb_seed2,SPIN,Completeness,5,0.5881251379645358
0,SPIN_emb_seed2,SPIN,Completeness,6,0.5726406049313587
0,SPIN_emb_seed2,SPIN,Completeness,7,0.5779720151954908
0,SPIN_emb_seed2,SPIN,Completeness,8,0.5336046500321175
0,SPIN_emb_seed2,SPIN,Completeness,9,0.5635743037785325
0,SPIN_emb_seed2,SPIN,Homogeneity,5,0.4655000291210752
0,SPIN_emb_seed2,SPIN,Homogeneity,6,0.5184885244812044
0,SPIN_emb_seed2,SPIN,Homogeneity,7,0.5857123242824966
0,SPIN_emb_seed2,SPIN,Homogeneity,8,0.5673446295050828
0,SPIN_emb_seed2,SPIN,Homogeneity,9,0.6298544744911888
0,SPIN_emb_seed2,SPIN,NMI,5,0.5196767833604391
0,SPIN_emb_seed2,SPIN,NMI,6,0.5442207971640023
0,SPIN_emb_seed2,SPIN,NMI,7,0.5818162917857239
0,SPIN_emb_seed2,SPIN,NMI,8,0.549957637652338
0,SPIN_emb_seed2,SPIN,NMI,9,0.5948738683138075
0,SPIN_emb_seed3,SPIN,ARI,7,0.4667056799429341
0,SPIN_emb_seed3,SPIN,ARI,8,0.5052483180517314
0,SPIN_emb_seed3,SPIN,ARI,10,0.408381006823546
0,SPIN_emb_seed3,SPIN,Completeness,7,0.5969077823221222
0,SPIN_emb_seed3,SPIN,Completeness,8,0.5930364113279311
0,SPIN_emb_seed3,SPIN,Completeness,10,0.5291870119544076
0,SPIN_emb_seed3,SPIN,Homogeneity,7,0.6037497557861342
0,SPIN_emb_seed3,SPIN,Homogeneity,8,0.6453547150302026
0,SPIN_emb_seed3,SPIN,Homogeneity,10,0.6094107763777733
0,SPIN_emb_seed3,SPIN,NMI,7,0.6002925625222797
0,SPIN_emb_seed3,SPIN,NMI,8,0.6180904176220517
0,SPIN_emb_seed3,SPIN,NMI,10,0.5664726756171844
0,SPIN_emb_seed4,SPIN,ARI,5,0.253640049507923
0,SPIN_emb_seed4,SPIN,ARI,6,0.4440367534567409
0,SPIN_emb_seed4,SPIN,ARI,8,0.5346549804525107
0,SPIN_emb_seed4,SPIN,ARI,9,0.5237871027015941
0,SPIN_emb_seed4,SPIN,ARI,10,0.5063486095104623
0,SPIN_emb_seed4,SPIN,Completeness,5,0.5150227527857654
0,SPIN_emb_seed4,SPIN,Completeness,6,0.5974667161932106
0,SPIN_emb_seed4,SPIN,Completeness,8,0.6042888872728909
0,SPIN_emb_seed4,SPIN,Completeness,9,0.589337681650215
0,SPIN_emb_seed4,SPIN,Completeness,10,0.5689601257014183
0,SPIN_emb_seed4,SPIN,Homogeneity,5,0.3467577048572853
0,SPIN_emb_seed4,SPIN,Homogeneity,6,0.5383837538433549
0,SPIN_emb_seed4,SPIN,Homogeneity,8,0.6296684821135471
0,SPIN_emb_seed4,SPIN,Homogeneity,9,0.6306071649317859
0,SPIN_emb_seed4,SPIN,Homogeneity,10,0.6139620663412473
0,SPIN_emb_seed4,SPIN,NMI,5,0.4103170509783702
0,SPIN_emb_seed4,SPIN,NMI,6,0.5663885906570219
0,SPIN_emb_seed4,SPIN,NMI,8,0.6167176854681825
0,SPIN_emb_seed4,SPIN,NMI,9,0.6092743711392579
0,SPIN_emb_seed4,SPIN,NMI,10,0.5906050910046995
0,SPIN_emb_seed5,SPIN,ARI,5,0.3990675835034032
0,SPIN_emb_seed5,SPIN,ARI,6,0.4281311092018738
0,SPIN_emb_seed5,SPIN,ARI,7,0.3811187566663261
0,SPIN_emb_seed5,SPIN,ARI,8,0.5750726001518559
0,SPIN_emb_seed5,SPIN,ARI,9,0.5354868499236798
0,SPIN_emb_seed5,SPIN,Completeness,5,0.6013327651050233
0,SPIN_emb_seed5,SPIN,Completeness,6,0.5885271939503657
0,SPIN_emb_seed5,SPIN,Completeness,7,0.5522035178418695
0,SPIN_emb_seed5,SPIN,Completeness,8,0.6296508282553538
0,SPIN_emb_seed5,SPIN,Completeness,9,0.5953489197014753
0,SPIN_emb_seed5,SPIN,Homogeneity,5,0.4907931664679158
0,SPIN_emb_seed5,SPIN,Homogeneity,6,0.5285002844289711
0,SPIN_emb_seed5,SPIN,Homogeneity,7,0.5301527171235411
0,SPIN_emb_seed5,SPIN,Homogeneity,8,0.658384798595725
0,SPIN_emb_seed5,SPIN,Homogeneity,9,0.6633231272704654
0,SPIN_emb_seed5,SPIN,NMI,5,0.5404688293807648
0,SPIN_emb_seed5,SPIN,NMI,6,0.5569008738231345
0,SPIN_emb_seed5,SPIN,NMI,7,0.5409534974377461
0,SPIN_emb_seed5,SPIN,NMI,8,0.6436973094603115
0,SPIN_emb_seed5,SPIN,NMI,9,0.627500560107822
0,SpaceFlow_emb_seed1,SpaceFlow,ARI,5,0.3855146751995652
0,SpaceFlow_emb_seed1,SpaceFlow,ARI,6,0.3723568143519639
0,SpaceFlow_emb_seed1,SpaceFlow,ARI,7,0.3827243306969469
0,SpaceFlow_emb_seed1,SpaceFlow,ARI,8,0.3694475044484422
0,SpaceFlow_emb_seed1,SpaceFlow,ARI,9,0.4479766414863296
0,SpaceFlow_emb_seed1,SpaceFlow,ARI,10,0.3394483920960666
0,SpaceFlow_emb_seed1,SpaceFlow,Completeness,5,0.5463778606052695
0,SpaceFlow_emb_seed1,SpaceFlow,Completeness,6,0.5433647123424303
0,SpaceFlow_emb_seed1,SpaceFlow,Completeness,7,0.5281986568225732
0,SpaceFlow_emb_seed1,SpaceFlow,Completeness,8,0.4983738345698102
0,SpaceFlow_emb_seed1,SpaceFlow,Completeness,9,0.5471358696561911
0,SpaceFlow_emb_seed1,SpaceFlow,Completeness,10,0.4681496897514496
0,SpaceFlow_emb_seed1,SpaceFlow,Homogeneity,5,0.4641178282947666
0,SpaceFlow_emb_seed1,SpaceFlow,Homogeneity,6,0.4964127022434046
0,SpaceFlow_emb_seed1,SpaceFlow,Homogeneity,7,0.5094494851855581
0,SpaceFlow_emb_seed1,SpaceFlow,Homogeneity,8,0.5305462439088545
0,SpaceFlow_emb_seed1,SpaceFlow,Homogeneity,9,0.6315518083557646
0,SpaceFlow_emb_seed1,SpaceFlow,Homogeneity,10,0.5504662498575439
0,SpaceFlow_emb_seed1,SpaceFlow,NMI,5,0.5018996259909696
0,SpaceFlow_emb_seed1,SpaceFlow,NMI,6,0.5188279934902305
0,SpaceFlow_emb_seed1,SpaceFlow,NMI,7,0.5186546824498713
0,SpaceFlow_emb_seed1,SpaceFlow,NMI,8,0.513957053660409
0,SpaceFlow_emb_seed1,SpaceFlow,NMI,9,0.5863209641429145
0,SpaceFlow_emb_seed1,SpaceFlow,NMI,10,0.5059818800565289
0,SpaceFlow_emb_seed2,SpaceFlow,ARI,5,0.3647283377769167
0,SpaceFlow_emb_seed2,SpaceFlow,ARI,6,0.3993717649133696
0,SpaceFlow_emb_seed2,SpaceFlow,ARI,7,0.4235931434983559
0,SpaceFlow_emb_seed2,SpaceFlow,ARI,8,0.387511556893077
0,SpaceFlow_emb_seed2,SpaceFlow,ARI,9,0.4019762887501636
0,SpaceFlow_emb_seed2,SpaceFlow,ARI,10,0.3914930060455683
0,SpaceFlow_emb_seed2,SpaceFlow,Completeness,5,0.5282727002030642
0,SpaceFlow_emb_seed2,SpaceFlow,Completeness,6,0.5138798554747988
0,SpaceFlow_emb_seed2,SpaceFlow,Completeness,7,0.532336572583104
0,SpaceFlow_emb_seed2,SpaceFlow,Completeness,8,0.4932852730105027
0,SpaceFlow_emb_seed2,SpaceFlow,Completeness,9,0.4936511299770474
0,SpaceFlow_emb_seed2,SpaceFlow,Completeness,10,0.487859548489748
0,SpaceFlow_emb_seed2,SpaceFlow,Homogeneity,5,0.4454594194299564
0,SpaceFlow_emb_seed2,SpaceFlow,Homogeneity,6,0.4847237556347153
0,SpaceFlow_emb_seed2,SpaceFlow,Homogeneity,7,0.5384670705778107
0,SpaceFlow_emb_seed2,SpaceFlow,Homogeneity,8,0.530053485189873
0,SpaceFlow_emb_seed2,SpaceFlow,Homogeneity,9,0.558241100795648
