Model,FOV,Metric,Num_Clusters,Dissimilarity_Score
FICTURE (Hexagon),41-42,Cosine Distance,7,0.1279578136619277
FICTURE (Hexagon),41-42,Jensen-Shannon Divergence,5,0.22191174403779126
FICTURE (Hexagon),41-42,Jensen-Shannon Divergence,6,0.2099174464621303
FICTURE (Hexagon),41-42,Jensen-Shannon Divergence,7,0.2010328693340448
FICTURE (Hexagon),43-44,Cosine Distance,5,0.1255657286421335
FICTURE (Hexagon),43-44,Cosine Distance,6,0.12085338283279073
FICTURE (Hexagon),43-44,Cosine Distance,7,0.11136549124400592
FICTURE (Hexagon),43-44,Jensen-Shannon Divergence,5,0.20026156446106969
FICTURE (Hexagon),43-44,Jensen-Shannon Divergence,6,0.20644158311212638
FICTURE (Hexagon),43-44,Jensen-Shannon Divergence,7,0.19584424713427698
FICTURE (Hexagon),7-8,Cosine Distance,5,0.09998294485800126
FICTURE (Hexagon),7-8,Cosine Distance,6,0.0910759783180762
FICTURE (Hexagon),7-8,Cosine Distance,7,0.08679775609234738
FICTURE (Hexagon),7-8,Jensen-Shannon Divergence,5,0.19758033156721072
FICTURE (Hexagon),7-8,Jensen-Shannon Divergence,6,0.1908897044906108
FICTURE (Hexagon),7-8,Jensen-Shannon Divergence,7,0.18459951384626713
FICTURE (Hexagon),9-10,Cosine Distance,5,0.1572038400337032
FICTURE (Hexagon),9-10,Cosine Distance,6,0.15209778680028727
FICTURE (Hexagon),9-10,Cosine Distance,7,0.14714476803506807
FICTURE (Hexagon),9-10,Jensen-Shannon Divergence,5,0.24037892817269763
FICTURE (Hexagon),9-10,Jensen-Shannon Divergence,6,0.23680701039214883
FICTURE (Hexagon),9-10,Jensen-Shannon Divergence,7,0.2249682161966669
Glimmer (Bin),10-11,Cosine Distance,5,0.6296429647041036
Glimmer (Bin),10-11,Cosine Distance,6,0.6557026657828074
Glimmer (Bin),10-11,Jensen-Shannon Divergence,5,0.4637616865171502
Glimmer (Bin),10-11,Jensen-Shannon Divergence,6,0.4715005877496443
Glimmer (Bin),13-14,Cosine Distance,5,0.6000609262816756
Glimmer (Bin),13-14,Cosine Distance,7,0.6188951612040938
Glimmer (Bin),13-14,Jensen-Shannon Divergence,5,0.4449310437011813
Glimmer (Bin),13-14,Jensen-Shannon Divergence,7,0.47764294626824344
Glimmer (Bin),15-16,Cosine Distance,5,0.5021860839906884
Glimmer (Bin),15-16,Cosine Distance,6,0.56222734361949
Glimmer (Bin),15-16,Cosine Distance,7,0.6401090817825816
Glimmer (Bin),15-16,Jensen-Shannon Divergence,5,0.40497997128411845
Glimmer (Bin),15-16,Jensen-Shannon Divergence,6,0.47888915205885363
Glimmer (Bin),15-16,Jensen-Shannon Divergence,7,0.5463344257019116
Glimmer (Bin),17-18,Cosine Distance,6,0.5771273840413571
Glimmer (Bin),17-18,Cosine Distance,7,0.5667052968350745
Glimmer (Bin),17-18,Jensen-Shannon Divergence,6,0.4619595780902494
Glimmer (Bin),17-18,Jensen-Shannon Divergence,7,0.4359695981600789
Glimmer (Bin),21-22,Cosine Distance,5,0.6227875296163721
Glimmer (Bin),21-22,Cosine Distance,7,0.6297516551591416
Glimmer (Bin),21-22,Jensen-Shannon Divergence,5,0.4550491863367744
Glimmer (Bin),21-22,Jensen-Shannon Divergence,7,0.4707539093947591
Glimmer (Bin),23-24,Cosine Distance,5,0.6093967844210892
Glimmer (Bin),23-24,Cosine Distance,6,0.6418342249975988
Glimmer (Bin),23-24,Cosine Distance,7,0.558441529523846
Glimmer (Bin),23-24,Jensen-Shannon Divergence,5,0.4542923114177918
Glimmer (Bin),23-24,Jensen-Shannon Divergence,6,0.47625786322219255
Glimmer (Bin),23-24,Jensen-Shannon Divergence,7,0.41236869135783494
Glimmer (Bin),27-28,Cosine Distance,5,0.5765470096496448
Glimmer (Bin),27-28,Cosine Distance,6,0.6362318306131675
Glimmer (Bin),27-28,Cosine Distance,7,0.6088186287366198
Glimmer (Bin),27-28,Jensen-Shannon Divergence,5,0.4560627184710614
Glimmer (Bin),27-28,Jensen-Shannon Divergence,6,0.49028279880434555
Glimmer (Bin),27-28,Jensen-Shannon Divergence,7,0.47351555497721304
Glimmer (Bin),29-30,Cosine Distance,5,0.5320645973123636
Glimmer (Bin),29-30,Cosine Distance,6,0.4726995374226474
Glimmer (Bin),29-30,Jensen-Shannon Divergence,5,0.4330697939951911
Glimmer (Bin),29-30,Jensen-Shannon Divergence,6,0.40706709778418015
Glimmer (Bin),31-32,Cosine Distance,5,0.5910551288040046
Glimmer (Bin),31-32,Cosine Distance,6,0.5959513904055584
Glimmer (Bin),31-32,Cosine Distance,7,0.5647372954283503
Glimmer (Bin),31-32,Jensen-Shannon Divergence,5,0.4358979117146809
Glimmer (Bin),31-32,Jensen-Shannon Divergence,6,0.44242600774048424
Glimmer (Bin),31-32,Jensen-Shannon Divergence,7,0.4254441759495182
Glimmer (Bin),33-34,Cosine Distance,7,0.5747007810956329
Glimmer (Bin),33-34,Jensen-Shannon Divergence,7,0.44162744196227877
Glimmer (Bin),39-40,Cosine Distance,5,0.6532378753517609
Glimmer (Bin),39-40,Cosine Distance,6,0.6203421001516178
Glimmer (Bin),39-40,Cosine Distance,7,0.6731147928059118
Glimmer (Bin),39-40,Jensen-Shannon Divergence,5,0.4785317827210192
Glimmer (Bin),39-40,Jensen-Shannon Divergence,6,0.4735890379152813
Glimmer (Bin),39-40,Jensen-Shannon Divergence,7,0.511642215703089
Glimmer (Bin),41-42,Cosine Distance,5,0.6150160843658637
Glimmer (Bin),41-42,Cosine Distance,6,0.6335743022502149
Glimmer (Bin),41-42,Cosine Distance,7,0.5992227393450653
Glimmer (Bin),41-42,Jensen-Shannon Divergence,5,0.45161203336158284
Glimmer (Bin),41-42,Jensen-Shannon Divergence,6,0.47209067097775154
Glimmer (Bin),41-42,Jensen-Shannon Divergence,7,0.43203838120187354
Glimmer (Bin),43-44,Cosine Distance,5,0.567677560064812
Glimmer (Bin),43-44,Cosine Distance,6,0.5750849258354671
Glimmer (Bin),43-44,Cosine Distance,7,0.5753309776939461
Glimmer (Bin),43-44,Jensen-Shannon Divergence,5,0.4330642686367357
Glimmer (Bin),43-44,Jensen-Shannon Divergence,6,0.4435840787380308
Glimmer (Bin),43-44,Jensen-Shannon Divergence,7,0.42848573736878054
Glimmer (Bin),7-8,Cosine Distance,5,0.5942091047610719
Glimmer (Bin),7-8,Cosine Distance,6,0.6188870915320344
Glimmer (Bin),7-8,Cosine Distance,7,0.5955234702423285
Glimmer (Bin),7-8,Jensen-Shannon Divergence,5,0.4485244729010518
Glimmer (Bin),7-8,Jensen-Shannon Divergence,6,0.47267363002214335
Glimmer (Bin),7-8,Jensen-Shannon Divergence,7,0.4511424463048578
Glimmer (Bin),9-10,Cosine Distance,5,0.5920336407797985
Glimmer (Bin),9-10,Cosine Distance,6,0.5885156923142326
Glimmer (Bin),9-10,Cosine Distance,7,0.5978879488835448
Glimmer (Bin),9-10,Jensen-Shannon Divergence,5,0.47003600661776496
Glimmer (Bin),9-10,Jensen-Shannon Divergence,6,0.4660805832026124
Glimmer (Bin),9-10,Jensen-Shannon Divergence,7,0.4579473612747573
Glimmer (Cell),10-11,Cosine Distance,5,0.6729736682252362
Glimmer (Cell),10-11,Cosine Distance,6,0.7003654543043486
Glimmer (Cell),10-11,Jensen-Shannon Divergence,5,0.48337664993859947
Glimmer (Cell),10-11,Jensen-Shannon Divergence,6,0.49138939609797333
Glimmer (Cell),13-14,Cosine Distance,5,0.6431737540696416
Glimmer (Cell),13-14,Cosine Distance,7,0.6582606309015789
Glimmer (Cell),13-14,Jensen-Shannon Divergence,5,0.46514212889186723
Glimmer (Cell),13-14,Jensen-Shannon Divergence,7,0.4965062296156217
Glimmer (Cell),15-16,Cosine Distance,5,0.5271150611700255
Glimmer (Cell),15-16,Cosine Distance,6,0.5930878987650714
Glimmer (Cell),15-16,Cosine Distance,7,0.6672761721472641
Glimmer (Cell),15-16,Jensen-Shannon Divergence,5,0.41751132644489514
Glimmer (Cell),15-16,Jensen-Shannon Divergence,6,0.4939078087215457
Glimmer (Cell),15-16,Jensen-Shannon Divergence,7,0.5587637019872631
Glimmer (Cell),17-18,Cosine Distance,6,0.6067339816359025
Glimmer (Cell),17-18,Cosine Distance,7,0.5936532921050958
Glimmer (Cell),17-18,Jensen-Shannon Divergence,6,0.47636467186311093
Glimmer (Cell),17-18,Jensen-Shannon Divergence,7,0.4491310569185657
Glimmer (Cell),21-22,Cosine Distance,5,0.6651427443606477
Glimmer (Cell),21-22,Cosine Distance,7,0.6681661167980857
Glimmer (Cell),21-22,Jensen-Shannon Divergence,5,0.47370253238240967
Glimmer (Cell),21-22,Jensen-Shannon Divergence,7,0.48903566392340264
Glimmer (Cell),23-24,Cosine Distance,5,0.6484442513850406
Glimmer (Cell),23-24,Cosine Distance,6,0.676828855133587
Glimmer (Cell),23-24,Cosine Distance,7,0.5860331335186781
Glimmer (Cell),23-24,Jensen-Shannon Divergence,5,0.47162299648614747
Glimmer (Cell),23-24,Jensen-Shannon Divergence,6,0.49189173892108573
Glimmer (Cell),23-24,Jensen-Shannon Divergence,7,0.42733722724475937
Glimmer (Cell),27-28,Cosine Distance,5,0.6040691947310342
Glimmer (Cell),27-28,Cosine Distance,6,0.6746235888055395
Glimmer (Cell),27-28,Cosine Distance,7,0.6433466245389853
Glimmer (Cell),27-28,Jensen-Shannon Divergence,5,0.4709146103416344
Glimmer (Cell),27-28,Jensen-Shannon Divergence,6,0.5079443611330149
Glimmer (Cell),27-28,Jensen-Shannon Divergence,7,0.49003292549214666
Glimmer (Cell),29-30,Cosine Distance,5,0.5567747655647289
Glimmer (Cell),29-30,Cosine Distance,6,0.48941526739135427
Glimmer (Cell),29-30,Jensen-Shannon Divergence,5,0.44672419723743606
Glimmer (Cell),29-30,Jensen-Shannon Divergence,6,0.41977483528262893
Glimmer (Cell),31-32,Cosine Distance,5,0.6354796432961786
Glimmer (Cell),31-32,Cosine Distance,6,0.6337407375899725
Glimmer (Cell),31-32,Cosine Distance,7,0.5970257027800531
Glimmer (Cell),31-32,Jensen-Shannon Divergence,5,0.4568165401558277
Glimmer (Cell),31-32,Jensen-Shannon Divergence,6,0.46087328971601965
Glimmer (Cell),31-32,Jensen-Shannon Divergence,7,0.44221342621847803
Glimmer (Cell),33-34,Cosine Distance,7,0.6149252982390866
Glimmer (Cell),33-34,Jensen-Shannon Divergence,7,0.46085726457718074
Glimmer (Cell),39-40,Cosine Distance,5,0.6949402002988416
Glimmer (Cell),39-40,Cosine Distance,6,0.6563258001598026
Glimmer (Cell),39-40,Cosine Distance,7,0.7095680747120736
Glimmer (Cell),39-40,Jensen-Shannon Divergence,5,0.49663980366078714
Glimmer (Cell),39-40,Jensen-Shannon Divergence,6,0.48993619533326926
